candidate_id,rank,score,reasoning
CAND_0007391,45,0.8972,"Data Scientist with 4.3 years of experience. Demonstrates expertise in Python, Information Retrieval, Pinecone. Slightly below 5-year ideal band, but strong relevance."
CAND_0011125,46,0.8967,"Junior ML Engineer with 6.6 years of experience. Demonstrates expertise in Information Retrieval, Embeddings, Weaviate."
CAND_0076904,47,0.8964,"Senior Data Scientist with 4.2 years of experience. Demonstrates expertise in Information Retrieval, Weaviate. Slightly below 5-year ideal band, but strong relevance."
CAND_0061156,48,0.8959,"Senior Software Engineer (ML) with 6.0 years of experience. Demonstrates expertise in Weaviate, Python, Information Retrieval."
CAND_0044855,49,0.8953,"Senior Data Scientist with 6.6 years of experience. Demonstrates expertise in Information Retrieval, Pinecone, Qdrant."
CAND_0060054,50,0.8953,"AI Engineer with 6.4 years of experience. Demonstrates expertise in Weaviate, Faiss. Strong engagement signals (86% response rate)."
CAND_0063328,51,0.8927,"Computer Vision Engineer with 4.6 years of experience. Demonstrates expertise in Faiss, Information Retrieval. Slightly below 5-year ideal band, but strong relevance."
CAND_0097896,52,0.8914,"AI Research Engineer with 4.8 years of experience. Demonstrates expertise in Information Retrieval, Qdrant. Slightly below 5-year ideal band, but strong relevance."
CAND_0083852,53,0.8911,"Data Scientist with 6.0 years of experience. Demonstrates expertise in Qdrant, Pinecone, Information Retrieval. Strong engagement signals (85% response rate)."
CAND_0018499,54,0.8904,"Senior Machine Learning Engineer with 7.2 years of experience. Demonstrates expertise in Weaviate, Pinecone, Information Retrieval."
CAND_0066035,55,0.8896,"Data Scientist with 6.7 years of experience. Demonstrates expertise in Information Retrieval, Weaviate."
CAND_0011162,56,0.8893,"Recommendation Systems Engineer with 5.8 years of experience. Demonstrates expertise in Faiss, Pinecone, Python."
CAND_0081846,57,0.8886,"Lead AI Engineer with 6.7 years of experience. Demonstrates expertise in Information Retrieval, Python, Embeddings."
CAND_0081686,58,0.8885,"Search Engineer with 6.0 years of experience. Demonstrates expertise in Embeddings, Faiss, Python. Strong engagement signals (91% response rate)."
CAND_0091899,59,0.8877,"Senior Software Engineer (ML) with 5.8 years of experience. Demonstrates expertise in Faiss, Information Retrieval."
CAND_0015065,60,0.8871,"AI Research Engineer with 3.9 years of experience. Demonstrates expertise in Embeddings, Qdrant, Information Retrieval. Slightly below 5-year ideal band, but strong relevance. Strong engagement signals (84% response rate)."
CAND_0022870,61,0.8865,"AI Specialist with 6.7 years of experience. Demonstrates expertise in Information Retrieval, Qdrant, Python."
CAND_0099806,62,0.8853,"AI Engineer with 4.6 years of experience. Demonstrates expertise in Faiss, Embeddings, Weaviate. Slightly below 5-year ideal band, but strong relevance."
CAND_0028793,63,0.8838,"Search Engineer with 7.2 years of experience. Demonstrates expertise in Embeddings, Information Retrieval."
CAND_0076163,64,0.8837,"NLP Engineer with 6.9 years of experience. Demonstrates expertise in Weaviate, Python. Strong engagement signals (84% response rate)."
CAND_0011687,65,0.8825,"Senior NLP Engineer with 7.8 years of experience. Demonstrates expertise in Faiss, Embeddings, Weaviate. Strong engagement signals (89% response rate)."
CAND_0077285,66,0.882,"Recommendation Systems Engineer with 5.5 years of experience. Demonstrates expertise in Pinecone, Embeddings, Information Retrieval."
CAND_0022812,67,0.8817,"Applied ML Engineer with 4.5 years of experience. Demonstrates expertise in Weaviate, Pinecone, Qdrant. Slightly below 5-year ideal band, but strong relevance."
CAND_0064904,68,0.8811,"AI Engineer with 4.9 years of experience. Demonstrates expertise in Embeddings, Python, Weaviate. Slightly below 5-year ideal band, but strong relevance."
CAND_0079284,69,0.88,"Machine Learning Engineer with 4.9 years of experience. Demonstrates expertise in Qdrant. Slightly below 5-year ideal band, but strong relevance."
CAND_0036184,70,0.8776,"Recommendation Systems Engineer with 6.0 years of experience. Demonstrates expertise in Faiss, Embeddings, Pinecone. Strong engagement signals (90% response rate)."
CAND_0054318,71,0.8768,"AI Research Engineer with 3.5 years of experience. Demonstrates expertise in Information Retrieval, Faiss, Python. Slightly below 5-year ideal band, but strong relevance. Strong engagement signals (87% response rate)."
CAND_0022594,72,0.8758,"Sales Executive with 9.9 years of experience. Demonstrates expertise in Embeddings, Faiss, Information Retrieval. Highly experienced with deep domain knowledge."
CAND_0024620,73,0.8756,"AI Engineer with 5.9 years of experience. Demonstrates expertise in Information Retrieval, Python."
CAND_0079064,74,0.8753,Senior Data Scientist with 5.2 years of experience. Demonstrates expertise in Pinecone. Strong engagement signals (91% response rate).
CAND_0068393,75,0.875,"Junior ML Engineer with 4.4 years of experience. Demonstrates expertise in Information Retrieval, Qdrant, Faiss. Slightly below 5-year ideal band, but strong relevance."
CAND_0051004,76,0.8747,"Senior Data Scientist with 4.7 years of experience. Demonstrates expertise in Embeddings, Qdrant. Slightly below 5-year ideal band, but strong relevance."
CAND_0018722,77,0.8729,"Recommendation Systems Engineer with 6.6 years of experience. Demonstrates expertise in Weaviate, Python."
CAND_0006209,78,0.8727,"AI Specialist with 3.9 years of experience. Demonstrates expertise in Information Retrieval, Pinecone. Slightly below 5-year ideal band, but strong relevance."
CAND_0075249,79,0.8723,Applied ML Engineer with 6.2 years of experience. Demonstrates expertise in Pinecone. Strong engagement signals (82% response rate).
CAND_0009024,80,0.8715,"Search Engineer with 5.2 years of experience. Demonstrates expertise in Qdrant, Faiss."
CAND_0030953,81,0.8705,"Search Engineer with 7.8 years of experience. Demonstrates expertise in Qdrant, Python, Weaviate."
CAND_0007009,82,0.8699,"Recommendation Systems Engineer with 7.9 years of experience. Demonstrates expertise in Weaviate, Python, Embeddings."
CAND_0006418,83,0.8699,"Machine Learning Engineer with 5.7 years of experience. Demonstrates expertise in Embeddings, Weaviate, Qdrant. Strong engagement signals (92% response rate)."
CAND_0076251,84,0.8685,Search Engineer with 7.6 years of experience. Demonstrates expertise in Weaviate.
CAND_0068811,85,0.8675,"Applied ML Engineer with 8.0 years of experience. Demonstrates expertise in Qdrant, Embeddings, Pinecone."
CAND_0075439,86,0.8669,"Machine Learning Engineer with 4.3 years of experience. Demonstrates expertise in Information Retrieval, Embeddings. Slightly below 5-year ideal band, but strong relevance."
CAND_0093193,87,0.8666,"Senior Machine Learning Engineer with 7.9 years of experience. Demonstrates expertise in Ranking Systems, Qdrant, Information Retrieval Systems."
CAND_0029336,88,0.8661,"ML Engineer with 3.8 years of experience. Demonstrates expertise in Information Retrieval, Weaviate. Slightly below 5-year ideal band, but strong relevance."
CAND_0081852,89,0.8658,Senior Data Scientist with 5.9 years of experience. Demonstrates expertise in Weaviate.
CAND_0059240,90,0.8652,"Junior ML Engineer with 4.0 years of experience. Demonstrates expertise in Information Retrieval, Python, Faiss. Slightly below 5-year ideal band, but strong relevance."
CAND_0083307,91,0.8648,"Search Engineer with 7.8 years of experience. Demonstrates expertise in Embeddings, Pinecone, Weaviate."
CAND_0056058,92,0.8644,"Junior ML Engineer with 3.4 years of experience. Demonstrates expertise in Python, Qdrant, Faiss. Slightly below 5-year ideal band, but strong relevance. Strong engagement signals (81% response rate)."
CAND_0005260,93,0.8629,"Senior NLP Engineer with 5.2 years of experience. Demonstrates expertise in Information Retrieval, Python, Embeddings. Strong engagement signals (86% response rate)."
CAND_0039582,94,0.8623,"Sales Executive with 6.0 years of experience. Demonstrates expertise in Pinecone, Embeddings, Information Retrieval."
CAND_0000165,95,0.8623,"AI Specialist with 6.8 years of experience. Demonstrates expertise in Information Retrieval, Qdrant."
CAND_0024466,96,0.8604,Search Engineer with 5.2 years of experience. Demonstrates expertise in Pinecone.
CAND_0006821,97,0.8602,"Senior Software Engineer (ML) with 5.0 years of experience. Demonstrates expertise in Faiss, Information Retrieval, Embeddings."
CAND_0039383,98,0.8601,Applied ML Engineer with 7.1 years of experience. Demonstrates expertise in Faiss.
CAND_0049896,99,0.8594,Search Engineer with 7.3 years of experience. Demonstrates expertise in Information Retrieval.
CAND_0074225,100,0.8592,"Machine Learning Engineer with 4.3 years of experience. Demonstrates expertise in Python, Qdrant. Slightly below 5-year ideal band, but strong relevance. Strong engagement signals (91% response rate)."
